"No.","Time","Source","Destination","Protocol","Length","Info"
"52","0.843135","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=145 Ack=145 Win=10104 Len=0"
"53","0.843307","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 21912; Unit:   1, Func:   6: Write Single Register"
"54","0.843343","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=145 Ack=157 Win=10104 Len=0"
"55","0.874312","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 21912; Unit:   1, Func:   6: Write Single Register"
"56","0.874347","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=157 Ack=157 Win=10104 Len=0"
"57","0.874492","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 13883; Unit:   1, Func:   6: Write Single Register"
"58","0.874511","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=157 Ack=169 Win=10104 Len=0"
"59","0.905557","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 13883; Unit:   1, Func:   6: Write Single Register"
"60","0.905595","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=169 Ack=169 Win=10104 Len=0"
"61","0.905769","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 36518; Unit:   1, Func:   6: Write Single Register"
"62","0.905804","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=169 Ack=181 Win=10104 Len=0"
"63","0.936740","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 36518; Unit:   1, Func:   6: Write Single Register"
"64","0.936783","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=181 Ack=181 Win=10104 Len=0"
"65","0.936880","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 23047; Unit:   1, Func:   6: Write Single Register"
"66","0.936909","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=181 Ack=193 Win=10104 Len=0"
"67","0.968340","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 23047; Unit:   1, Func:   6: Write Single Register"
"68","0.968395","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=193 Ack=193 Win=10104 Len=0"
"69","1.484254","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 19026; Unit:   1, Func:   6: Write Single Register"
"70","1.484294","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=193 Ack=205 Win=10104 Len=0"
"71","1.499505","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 19026; Unit:   1, Func:   6: Write Single Register"
"72","1.499551","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=205 Ack=205 Win=10104 Len=0"
"73","1.499828","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 33050; Unit:   1, Func:   6: Write Single Register"
"74","1.499869","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=205 Ack=217 Win=10104 Len=0"
"75","1.530845","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 33050; Unit:   1, Func:   6: Write Single Register"
"76","1.530904","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=217 Ack=217 Win=10104 Len=0"
"77","1.531084","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans:  4405; Unit:   1, Func:   6: Write Single Register"
"78","1.531102","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=217 Ack=229 Win=10104 Len=0"
"79","1.561819","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans:  4405; Unit:   1, Func:   6: Write Single Register"
"80","1.561869","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=229 Ack=229 Win=10104 Len=0"
"81","1.562084","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans:  9321; Unit:   1, Func:   6: Write Single Register"
"82","1.562118","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=229 Ack=241 Win=10104 Len=0"
"83","1.593067","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans:  9321; Unit:   1, Func:   6: Write Single Register"
"84","1.593117","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=241 Ack=241 Win=10104 Len=0"
"85","1.593203","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 29851; Unit:   1, Func:   6: Write Single Register"
"86","1.593229","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=241 Ack=253 Win=10104 Len=0"
"87","1.624479","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 29851; Unit:   1, Func:   6: Write Single Register"
"88","1.624535","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=253 Ack=253 Win=10104 Len=0"
"89","1.624659","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 49301; Unit:   1, Func:   6: Write Single Register"
"90","1.624688","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=253 Ack=265 Win=10104 Len=0"
"91","1.655606","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 49301; Unit:   1, Func:   6: Write Single Register"
"92","1.655658","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=265 Ack=265 Win=10103 Len=0"
"93","1.655735","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 16706; Unit:   1, Func:   6: Write Single Register"
"94","1.655760","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=265 Ack=277 Win=10103 Len=0"
"95","1.686791","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 16706; Unit:   1, Func:   6: Write Single Register"
"96","1.686842","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=277 Ack=277 Win=10103 Len=0"
"97","1.686902","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 62050; Unit:   1, Func:   6: Write Single Register"
"98","1.686923","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=277 Ack=289 Win=10103 Len=0"
"99","1.702373","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans:   463; Unit:   1, Func:   3: Read Holding Registers"
"100","1.702412","127.0.0.1","127.0.0.1","TCP","44","502  >  1615 [ACK] Seq=50 Ack=25 Win=10211 Len=0"
